Time,Phase 1 [0] Score,Phase 4 [1] Score,Waiting Time,Queue Lengths,Number of Vehicles Exited the Intersection
580,175.5,452.0,751.0,52,425
581,184.5,474.0,789.0,54,426
582,193.5,496.0,830.0,53,427
583,203.5,518.0,872.0,53,427
584,214.5,541.0,916.0,54,427
585,222.5,474.0,866.0,53,427
586,230.5,409.0,818.0,52,427
587,239.0,351.0,776.0,53,428
588,251.0,299.0,748.0,53,428
589,263.5,248.0,724.0,51,428
590,276.5,208.0,709.0,52,428
591,289.0,196.0,722.0,52,428
592,302.0,156.0,710.0,50,428
593,316.0,122.0,703.0,51,429
594,330.0,110.0,720.0,50,431
595,344.0,95.0,734.0,49,431
596,358.5,67.0,735.0,49,431
597,373.0,39.0,737.0,48,432
598,388.0,15.0,743.0,48,433
599,403.5,14.0,773.0,48,434
600,418.5,13.0,803.0,47,435
601,433.5,13.0,833.0,47,435
602,449.0,13.0,863.0,48,436
603,464.5,12.0,894.0,47,436
604,480.0,12.0,925.0,47,436
605,496.0,12.0,956.0,48,439
606,512.0,11.0,988.0,47,440
607,528.0,11.0,1020.0,47,440
608,545.0,11.0,1053.0,48,440
609,561.5,10.0,1086.0,47,441
610,578.0,10.0,1119.0,47,442
611,596.0,9.0,1154.0,47,443
612,613.5,9.0,1189.0,47,443
613,631.0,8.0,1224.0,46,445
614,649.5,8.0,1260.0,47,445
615,667.5,7.0,1296.0,46,446
616,685.5,7.0,1332.0,46,446
617,704.0,7.0,1368.0,47,447
618,722.0,6.0,1404.0,46,448
619,740.5,6.0,1441.0,46,449
620,759.5,5.0,1478.0,46,450
621,778.5,6.0,1516.0,47,451
622,797.5,5.0,1554.0,46,452
623,817.5,5.0,1593.0,47,453
624,837.5,6.0,1633.0,48,453
625,856.5,4.0,1671.0,46,454
626,876.5,4.0,1711.0,46,454
627,897.0,5.0,1751.0,48,456
628,917.5,5.0,1791.0,49,456
629,938.0,6.0,1832.0,50,458
630,887.0,6.0,1733.0,47,458
631,792.0,6.0,1542.0,48,458
632,723.5,8.0,1406.0,49,459
633,656.5,9.0,1274.0,48,459
634,557.5,11.0,1077.0,49,461
635,492.0,15.0,948.0,51,461
636,431.0,18.0,830.0,50,461
637,372.0,23.0,717.0,50,461
638,343.0,27.0,664.0,49,461
639,352.5,32.0,688.0,49,461
640,355.0,38.0,700.0,48,462
641,267.5,44.0,531.0,48,462
642,136.0,50.0,277.0,45,463
643,94.0,58.0,200.0,46,463
644,53.0,65.0,126.0,45,464
645,56.5,73.0,141.0,45,465
646,61.0,80.0,158.0,44,466
647,66.0,88.0,177.0,43,468
648,71.5,98.0,199.0,42,469
649,77.5,107.0,221.0,41,471
650,85.0,116.0,246.0,40,473
651,91.5,127.0,271.0,39,473
652,97.0,138.0,293.0,39,475
653,105.0,148.0,318.0,40,475
654,111.5,159.0,344.0,38,477
655,119.0,171.0,370.0,39,479
656,126.0,183.0,397.0,38,481
657,134.0,195.0,424.0,39,482
658,140.5,209.0,452.0,38,483
659,148.0,223.0,480.0,39,483
660,156.0,237.0,509.0,40,484
661,163.0,251.0,538.0,39,485
662,156.5,267.0,541.0,39,485
663,150.0,282.0,543.0,39,486
664,143.0,298.0,546.0,38,487
665,136.0,315.0,548.0,39,488
666,129.0,333.0,551.0,40,488
667,121.5,350.0,553.0,40,488
668,114.0,368.0,557.0,39,489
669,107.0,388.0,562.0,40,489
670,100.0,408.0,567.0,41,491
671,92.0,427.0,571.0,40,492
672,85.0,449.0,577.0,42,492
673,89.0,469.0,605.0,42,493
674,93.0,490.0,634.0,42,494
675,98.0,426.0,580.0,42,495
676,102.5,363.0,526.0,42,495
677,107.5,306.0,479.0,42,496
678,114.0,256.0,442.0,42,496
679,120.0,209.0,408.0,41,496
680,79.5,172.0,290.0,41,497
681,46.0,137.0,189.0,40,497
682,52.5,108.0,173.0,40,498
683,59.5,116.0,195.0,40,498
684,67.5,88.0,182.0,41,498
685,75.0,64.0,173.0,41,500
686,83.0,41.0,168.0,39,500
687,92.0,23.0,166.0,41,500
688,101.0,15.0,176.0,41,502
689,110.0,13.0,194.0,39,502
690,120.5,13.0,213.0,41,503
691,130.0,13.0,232.0,41,504
692,140.0,13.0,252.0,41,504
693,151.0,13.0,272.0,43,505
694,161.5,11.0,293.0,41,506
695,172.5,12.0,315.0,42,506
696,184.5,12.0,337.0,44,508
697,196.5,10.0,361.0,42,508
698,209.0,11.0,386.0,43,508
699,223.0,11.0,412.0,45,509
700,237.0,10.0,440.0,44,510
701,251.0,9.0,468.0,43,511
702,266.0,9.0,496.0,45,512
703,280.0,9.0,524.0,45,512
704,294.5,8.0,553.0,44,514
705,310.5,8.0,583.0,46,514
706,325.5,7.0,613.0,45,514
707,341.5,8.0,645.0,46,516
708,359.0,6.0,678.0,46,516
709,375.5,6.0,711.0,46,517
710,392.5,6.0,745.0,46,519
711,411.0,5.0,780.0,47,520
712,429.0,5.0,816.0,47,520
713,447.0,5.0,852.0,47,521
714,467.0,4.0,890.0,48,523
715,486.5,4.0,929.0,48,523
716,506.5,5.0,969.0,49,523
717,527.5,5.0,1010.0,50,523
718,548.5,4.0,1052.0,49,524
719,570.5,5.0,1095.0,51,525
720,507.5,6.0,973.0,48,526
721,447.5,7.0,855.0,47,527
722,395.0,9.0,750.0,49,528
723,341.5,10.0,646.0,47,528
724,304.0,13.0,574.0,47,529
725,274.0,15.0,515.0,48,529
726,251.5,17.0,474.0,46,529
727,223.0,21.0,419.0,48,529
728,200.0,24.0,378.0,46,530
729,180.5,28.0,343.0,46,530
730,148.0,33.0,282.0,47,532
731,142.5,37.0,275.0,47,533
732,116.0,43.0,228.0,47,535
733,99.5,48.0,200.0,47,535
734,105.5,54.0,220.0,45,537
735,114.0,61.0,242.0,47,538
736,122.5,67.0,266.0,46,539
737,131.0,74.0,291.0,45,540
738,140.0,82.0,316.0,46,541
739,150.0,89.0,343.0,46,541
740,159.5,97.0,371.0,45,542
741,169.5,105.0,399.0,45,543
742,180.5,114.0,430.0,45,543
743,189.5,124.0,459.0,44,544
744,200.5,134.0,490.0,45,546
745,210.5,144.0,521.0,44,546
746,220.5,156.0,553.0,44,547
747,231.5,168.0,585.0,46,549
748,241.0,179.0,617.0,44,549
749,251.5,190.0,649.0,44,550
